Comment,Designator,Amount,Footprint,LCSC
SW_SPST,"RST1,SW1",2,SW_SPST_SKQG_WithStem,C115351
74AHCT1G125,U3,1,TSOT-23-5_HandSoldering,C12494
STM32F072RBTx,U1,1,LQFP-64_10x10mm_P0.5mm,C46046
500mA,F1,1,Fuse_Bourns_MF-RHT100,C1562377 
100nF,"C3, C4, C5, C6, C7, C8, C9, C12 ",8,C_Disc_D4.3mm_W1.9mm_P5.00mm,C527620
5k1,"R4, R5",2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C1370648
75R,"R2, R3",2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C3495384 
0.33uF,C1,1,C_Disc_D4.3mm_W1.9mm_P5.00mm,C454409 
SA15CA,D41,1,D_DO-15_P10.16mm_Horizontal,C7466191
1.5k,R1,1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C1369547 
3.6V,"D42, D43",2,D_DO-35_SOD27_P7.62mm_Horizontal,C895320 
L78L33_TO92,U2,1,TO-92_Inline,C2927581 
10uF,C10,1,C_Disc_D4.3mm_W1.9mm_P5.00mm,C454408
10k,R6,1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C1420778
1uF,C2,1,C_Disc_D4.3mm_W1.9mm_P5.00mm,C454378
USB_C_Receptacle_USB2.0,J1,1,USB_C_Receptacle_GCT_USB4085,C2840393 
WS2812B,"D44, D45",2,WS2812B,C190565 
D3_TH_SMD_v2,D1 – D40,40,,C85057
,,,,C402212 
